YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,WIND_SPEED,WIND_DIRECTION,RH
2010,9,4,0.0,32.3,24.3,28.3,1.0,220.0,84.0
2010,9,5,0.0,35.2,25.1,30.2,1.0,140.0,78.0
2010,9,6,0.0,34.5,26.3,30.4,1.0,160.0,76.0
2010,9,7,0.2,33.8,25.7,29.8,1.0,200.0,84.0
2010,9,8,23.8,33.5,25.5,29.5,1.0,220.0,82.0
2010,9,9,2.4,33.8,25.3,29.5,1.0,220.0,86.0
2010,9,10,1.6,32.3,24.4,28.3,1.0,220.0,91.0
2010,9,11,0.2,32.6,24.4,28.5,1.0,220.0,82.0
2010,9,12,0.0,33.5,24.3,28.9,1.0,160.0,76.0
2010,9,13,4.0,32.4,24.6,28.5,1.0,220.0,84.0
2010,9,14,9.8,34.2,23.4,28.8,1.0,140.0,84.0
2010,9,15,31.9,33.0,23.2,28.1,1.0,220.0,95.0
2010,9,16,1.6,33.8,23.4,28.6,1.0,220.0,80.0
2010,9,17,40.7,33.4,23.7,28.6,1.0,180.0,77.0
2010,9,18,0.0,33.0,24.8,28.9,1.0,220.0,80.0
2010,9,19,0.0,32.9,25.8,29.4,1.0,270.0,78.0
2010,9,20,16.0,33.7,23.6,28.7,1.0,360.0,87.0
2010,9,21,27.8,28.7,23.0,25.9,1.0,340.0,95.0
2010,9,22,16.2,32.5,24.1,28.3,1.0,270.0,96.0
2010,9,23,0.0,31.8,24.5,28.2,1.0,340.0,86.0
2010,9,24,0.0,30.5,24.2,27.4,1.0,360.0,87.0
2010,9,25,0.0,32.7,23.9,28.3,1.0,360.0,84.0
2010,9,26,0.0,34.3,23.8,29.0,1.0,220.0,78.0
2010,9,27,0.0,34.0,24.4,29.2,1.0,340.0,81.0
2010,9,28,0.0,34.1,24.0,29.1,1.0,20.0,76.0
2010,9,29,0.0,33.5,25.1,29.3,1.0,360.0,81.0
2010,9,30,8.8,32.5,24.3,28.4,1.0,360.0,91.0
2010,10,1,32.8,29.8,23.7,26.8,1.0,90.0,95.0
2010,10,2,0.0,31.0,24.0,27.5,1.0,140.0,83.0
2010,10,3,0.0,32.7,23.7,28.2,1.0,40.0,83.0
2010,10,4,0.0,33.2,23.2,28.2,1.0,220.0,81.0
2010,10,5,0.0,32.6,24.4,28.5,1.0,20.0,79.0
2010,10,6,0.0,33.5,24.3,28.9,1.0,40.0,84.0
2010,10,7,0.0,35.1,25.9,30.5,1.0,140.0,76.0
2010,10,8,7.4,33.6,25.1,29.4,1.0,140.0,85.0
2010,10,9,5.0,32.6,24.7,28.7,1.0,320.0,90.0
2010,10,10,0.4,33.0,24.5,28.8,1.0,70.0,90.0
2010,10,11,0.0,31.6,24.5,28.0,1.0,360.0,85.0
2010,10,12,2.8,29.8,24.1,27.0,1.0,140.0,90.0
2010,10,13,0.0,28.5,24.7,26.6,1.0,340.0,94.0
2010,10,14,0.5,32.5,24.6,28.5,1.0,320.0,89.0
2010,10,15,0.0,31.6,24.3,28.0,1.0,360.0,82.0
2010,10,16,13.0,32.7,23.5,28.1,1.0,320.0,88.0
2010,10,17,20.5,34.2,25.1,29.7,1.0,90.0,82.0
2010,10,18,54.8,30.0,24.0,27.0,3.0,220.0,91.0
2010,10,19,21.4,27.5,24.8,26.2,2.0,160.0,93.0
2010,10,20,3.5,31.5,25.9,28.7,2.0,160.0,82.0
2010,10,21,15.4,30.3,25.1,27.7,1.0,160.0,92.0
2010,10,22,36.2,27.5,24.5,26.0,1.0,270.0,97.0
2010,10,23,2.0,31.4,24.1,27.8,1.0,360.0,92.0
2010,10,24,0.0,32.7,25.0,28.9,1.0,270.0,82.0
2010,10,25,56.2,32.5,23.8,28.2,1.0,320.0,85.0
2010,10,26,0.2,33.4,24.5,29.0,1.0,360.0,84.0
2010,10,27,88.2,31.0,23.0,27.0,1.0,220.0,88.0
2010,10,28,45.0,30.8,23.0,26.9,1.0,140.0,88.0
2010,10,29,0.8,30.2,24.2,27.2,1.0,360.0,85.0
2010,10,30,0.0,32.0,24.6,28.3,2.0,360.0,76.0
2010,10,31,7.4,32.4,23.7,28.1,1.0,360.0,84.0
2010,11,1,8.4,28.5,23.8,26.2,1.0,340.0,96.0
2010,11,2,4.4,29.5,23.4,26.5,1.0,340.0,94.0
2010,11,3,0.5,30.5,24.2,27.4,1.0,20.0,90.0
2010,11,4,0.5,32.4,24.2,28.3,1.0,340.0,86.0
2010,11,5,34.9,30.9,24.5,27.7,1.0,360.0,93.0
2010,11,6,4.7,31.2,24.2,27.7,1.0,320.0,91.0
2010,11,7,1.0,31.4,24.2,27.8,1.0,340.0,87.0
2010,11,8,8.5,32.1,24.1,28.1,1.0,270.0,91.0
2010,11,9,45.0,32.6,24.3,28.5,1.0,40.0,86.0
2010,11,10,25.8,30.0,24.2,27.1,1.0,340.0,95.0
2010,11,11,30.0,27.8,22.9,25.4,1.0,340.0,96.0
2010,11,12,13.5,31.7,24.8,28.3,1.0,340.0,89.0
2010,11,13,0.0,33.1,24.4,28.8,1.0,140.0,81.0
2010,11,14,2.8,31.3,23.7,27.5,1.0,90.0,83.0
2010,11,15,1.7,30.8,24.0,27.4,1.0,220.0,87.0
2010,11,16,3.0,30.4,23.0,26.7,1.0,220.0,90.0
2010,11,17,0.0,32.0,23.8,27.9,1.0,360.0,85.0
2010,11,18,0.0,30.0,23.1,26.5,1.0,340.0,88.0
2010,11,19,6.9,30.7,22.2,26.5,1.0,360.0,88.0
2010,11,20,1.0,31.6,23.7,27.7,1.0,360.0,82.0
2010,11,21,0.0,29.5,23.6,26.5,1.0,340.0,94.0
2010,11,22,44.0,30.9,24.1,27.5,1.0,320.0,88.0
2010,11,23,15.2,31.5,23.5,27.5,1.0,340.0,88.0
2010,11,24,0.0,31.2,24.3,27.8,1.0,40.0,85.0
2010,11,25,0.0,31.5,23.8,27.7,1.0,360.0,76.0
2010,11,26,0.0,32.0,23.8,27.9,1.0,110.0,74.0
2010,11,27,0.0,31.2,24.1,27.7,1.0,340.0,83.0
2010,11,28,1.0,28.8,23.8,26.3,1.0,360.0,84.0
2010,11,29,1.7,31.1,24.0,27.5,2.0,360.0,85.0
2010,11,30,0.0,32.9,22.8,27.9,1.0,20.0,80.0
2010,12,1,0.0,32.9,23.7,28.3,1.0,340.0,78.0
2010,12,2,0.5,31.9,23.5,27.7,1.0,360.0,85.0
2010,12,3,23.8,27.1,24.9,26.0,1.0,360.0,86.0
2010,12,4,0.0,32.6,22.9,27.8,1.0,360.0,82.0
2010,12,5,0.0,31.3,20.0,25.7,1.0,340.0,85.0
2010,12,6,0.0,32.3,22.5,27.4,1.0,360.0,81.0
2010,12,7,0.0,32.1,22.0,27.1,1.0,340.0,78.0
2010,12,8,0.0,31.4,23.4,27.4,1.0,40.0,79.0
2010,12,9,0.0,30.4,21.7,26.0,1.0,20.0,76.0
2010,12,10,0.0,29.1,21.8,25.5,1.0,360.0,82.0
2010,12,11,0.0,30.5,21.7,26.1,1.0,270.0,85.0
2010,12,12,0.0,29.8,22.8,26.3,1.0,360.0,80.0
2010,12,13,0.0,33.2,24.9,29.0,1.0,40.0,80.0
2010,12,14,11.8,31.7,23.5,27.6,1.0,290.0,95.0
2010,12,15,1.5,31.3,24.2,27.8,1.0,270.0,88.0
2010,12,16,67.0,30.5,23.7,27.1,1.0,360.0,93.0
2010,12,17,3.8,29.1,22.6,25.9,1.0,320.0,92.0
2010,12,18,0.4,29.5,23.9,26.7,1.0,40.0,87.0
2010,12,19,18.3,28.7,23.4,26.0,1.0,340.0,93.0
2010,12,20,0.0,30.6,21.5,26.0,1.0,360.0,81.0
2010,12,21,0.1,30.7,21.5,26.1,1.0,140.0,83.0
2010,12,22,0.0,30.1,21.1,25.6,1.0,40.0,85.0
2010,12,23,0.0,30.7,22.0,26.4,1.0,90.0,78.0
2010,12,24,0.0,30.4,22.9,26.6,1.0,360.0,81.0
2010,12,25,0.4,28.0,23.0,25.5,1.0,360.0,88.0
2010,12,26,0.0,28.0,21.4,24.7,1.0,320.0,83.0
2010,12,27,0.0,29.5,22.8,26.2,1.0,360.0,84.0
2010,12,28,0.0,30.3,22.8,26.6,1.0,340.0,83.0
2010,12,29,5.6,28.0,23.0,25.5,1.0,290.0,92.0
2010,12,30,3.7,27.1,22.8,25.0,1.0,340.0,95.0
2010,12,31,0.0,29.5,21.2,25.4,1.0,40.0,80.0
2011,1,1,0.0,28.7,20.5,24.6,2.0,360.0,79.0
2011,1,2,0.0,28.8,20.1,24.5,1.0,20.0,81.0
2011,1,3,0.0,30.4,20.0,25.2,1.0,40.0,74.0
2011,1,4,0.0,30.5,18.5,24.5,1.0,90.0,71.0
2011,1,5,0.0,30.6,21.3,26.0,1.0,40.0,77.0
2011,1,6,0.0,31.0,20.9,26.0,1.0,20.0,79.0
2011,1,7,0.0,31.0,20.8,25.9,1.0,20.0,73.0
2011,1,8,0.0,31.3,21.3,26.3,1.0,40.0,77.0
2011,1,9,5.6,28.3,22.8,25.6,1.0,20.0,91.0
2011,1,10,1.5,28.5,21.8,25.2,1.0,360.0,87.0
2011,1,11,1.0,28.8,21.6,25.2,1.0,140.0,84.0
2011,1,12,0.0,29.3,23.2,26.3,1.0,40.0,86.0
2011,1,13,0.0,31.5,21.8,26.7,1.0,20.0,78.0
